Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,1.001900,7.029300,9.969800,6.999400,5.002200,105.013600,121.998100,119.505400,108.999900,109.999600
search,5.9999,0,0.9995,0.9993,0,1,0.9999,0,1.0017,0Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,0.968200,10.004400,7.522100,6.007600,6.001000,108.022900,125.974300,108.001800,104.996400,106.999400
search,7.9999,1.0015,1.0035,1.0015,0.9976,1.0327,0.9653,1.0239,0,0.9744Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,0.998500,9.001100,5.998700,5.003300,5.998500,100.997100,106.001100,111.002100,102.002000,108.997300
search,5.3676,0,0.9996,0.9998,1.0031,0.9987,0,1.0011,0,0.9987Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,0.999000,8.917400,6.008900,5.051000,7.984200,102.999000,113.003200,112.996900,306.588600,656.739900
search,5.002000,0.998600,1.020600,0.980400,0.000000,0.999700,1.001300,0.000000,0.997700,1.000200Operacion,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
add,1.001900,7.702200,6.011300,4.997600,6.003500,101.516200,104.066700,99.978100,100.030700,102.002900
search,5.028900,1.000100,0.000000,0.998900,1.000100,0.000000,0.999900,0.999900,0.000000,0.999000
